Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals,,,,,
January 2011,Loggu Health Centre,1,0,49,,,,,,,,,,6,1,,,1,,4,,,,,18,,42,,,,,,
January 2011,Kulkpong CHPS,,,29,,,,,,,,,,,,,,,,3,,,,,11,,13,,,,,,
January 2011,Kundungu Health Centre,3,0,61,,,,,,,,,,,,,,2,,1,,5,,,,5,21,3,,,,,
January 2011,Samuel Seidu Memorial Clinic,,,40,,,1,,1,,2,,,12,2,,,,,7,,,,,11,,33,2,,,,,
January 2011,Biitenge CHPS,,,28,,,,,,,,,,,,,,1,,,,,,,,,7,,,,,,
February 2011,Bulenga Health Centre,14,0,191,,,,,,,,,,15,,,,6,,11,,,,,8,,26,17,,,,,
February 2011,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2011,Yaala Health Centre,3,0,22,,,,,,,,,,2,1,,,5,,4,,,,,4,,7,3,,,,,
February 2011,Jeyiri CHPS,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2011,Kataa CHPS,,,16,,,,,,,,,,1,,,,,,,,,,,5,,5,1,,,,,
February 2011,Kpaglahi CHPS,,,6,,,,,,,,,,,,,,,,,,,,,5,,13,,,,,,
February 2011,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2011,Ducie CHPS,,,45,,,,,,,,,,,,,,2,,1,,,,,3,,6,,,,,,
February 2011,Holomuni Health Centre,1,0,46,,,,,,,,,,1,,,,2,,1,,2,,,30,,27,2,,,,,
February 2011,Goh CHPS,,,13,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,
February 2011,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2011,Funsi Health Centre,6,0,122,,,,,1,,,,,21,16,,,8,,8,,7,3,,39,,99,12,,,,,
February 2011,Buffiamah CHPS,,,26,,,,,,,,,,,1,,,1,,1,,,,,3,,15,5,,,,,
February 2011,Danyawkura CHPS,,,16,,,,,,,,,,,,,,,,6,,,1,,1,,12,,,,,,
February 2011,Katua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2011,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2011,Naaha Health Center,5,0,64,,,1,,,,,,,3,1,,,1,,4,,,,,3,,24,1,,,,,
February 2011,Loggu Health Centre,7,0,59,,,1,,2,,,,,2,1,,,8,,4,,1,1,,40,,45,11,,,,,
February 2011,Kulkpong CHPS,1,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2011,Kundungu Health Centre,3,0,44,,,,,,,,,,,3,,,2,,3,,6,,,10,,22,1,,,,,
February 2011,Samuel Seidu Memorial Clinic,,,30,,,,,,,,,,11,2,,,,,7,,1,,,10,,21,3,,,,,
February 2011,Biitenge CHPS,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2011,Bulenga Health Centre,11,0,195,,,,,,,,,,10,,,,3,,7,,,,,2,,36,15,,,,,
March 2011,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2011,Yaala Health Centre,5,0,23,,,1,,1,,,,,1,2,,,4,,5,,3,1,,11,,19,3,,,,,
March 2011,Jeyiri CHPS,,,26,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,,
March 2011,Kataa CHPS,,,3,,,,,,,,,,,,,,1,,1,,,,,2,,5,,,,,,
March 2011,Kpaglahi CHPS,,,7,,,,,,,,,,,,,,,,,,,,,1,,12,,,,,,
March 2011,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2011,Ducie CHPS,,,45,,,,,,,,,,1,,,,2,,,,,,,,,4,1,,,,,
March 2011,Holomuni Health Centre,2,0,100,,,,,,,,,,1,3,,,2,,3,,4,,,22,,37,,,,,,
March 2011,Goh CHPS,,,16,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
March 2011,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2011,Funsi Health Centre,10,0,109,,,1,,2,,,,,26,6,,,5,,14,,5,4,1,65,,65,22,,,,,
March 2011,Buffiamah CHPS,,,17,,,,,,,,,,,,,,1,,4,,,,,7,,12,5,,,,,
March 2011,Danyawkura CHPS,,,16,,,,,,,,,,2,,,,,,5,,,1,,2,,6,,,,,,
March 2011,Katua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2011,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2011,Naaha Health Center,2,0,51,,,,,,,,,,1,1,,,1,,1,,2,,,,,18,,,,,,
March 2011,Loggu Health Centre,7,0,53,,,,,1,,,,,10,1,,,1,,6,,2,,,7,,19,2,,,,,
March 2011,Kulkpong CHPS,,,25,,,,,,,,,,1,,,,,,3,,1,,,12,,12,2,,,,,
March 2011,Kundungu Health Centre,2,0,33,,,,,,,,,,2,3,,,1,,2,,17,,,8,,25,2,,,,,
March 2011,Samuel Seidu Memorial Clinic,,,33,,,,,1,,,,,15,,,,2,,6,,1,1,,11,,14,5,,,,,
March 2011,Biitenge CHPS,1,0,13,,,,,,,,,,1,1,,,1,,1,,,,,13,,13,,,,,,
April 2011,Bulenga Health Centre,26,0,176,1,,,,,,,,,15,,,,3,,23,,,,,,,35,11,,,,,
April 2011,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2011,Yaala Health Centre,2,0,26,,,,,1,,,,,,1,,,6,,5,,3,,,12,,4,6,,,,,
April 2011,Jeyiri CHPS,,,13,,,,,,,,,,,,,,,,,,,,,3,,2,2,,,,,
April 2011,Kataa CHPS,,,14,,,,,,,,,,,,,,,,2,,,,,3,,13,,,,,,
April 2011,Kpaglahi CHPS,,,2,,,,,,,,,,,,,,,,,,,,,4,,12,,,,,,
April 2011,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2011,Ducie CHPS,,,42,,,,,,,,,,,,,,,,4,,,,,5,,5,,,,,,
April 2011,Holomuni Health Centre,2,0,83,,,,,,,,,,,2,,,,,1,,,,,13,,43,,,,,,
April 2011,Goh CHPS,,,13,,,,,,,,,,,,,,,,,,,,,12,,1,,,,,,
April 2011,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2011,Funsi Health Centre,12,0,104,,,,,1,,1,,,7,6,,,8,,9,,3,1,,34,,47,18,,,,,
April 2011,Buffiamah CHPS,,,18,,,,,,,,,,,,,,1,,3,,,,,7,,10,,,,,,
April 2011,Danyawkura CHPS,,,10,,,,,,,,,,,,,,,,,,,,,2,,12,,,,,,
April 2011,Katua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2011,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2011,Naaha Health Center,8,0,41,,,,,,,,,,1,,,,4,,,,,,,4,,15,,,,,,
April 2011,Loggu Health Centre,7,0,56,,,,,,,,,,7,2,,,1,,7,,,1,,9,,20,5,,,,,
April 2011,Kulkpong CHPS,,,11,,,,,,,,,,,,,,,,2,,,,,6,,5,,,,,,
April 2011,Kundungu Health Centre,4,0,26,,,,,,,,,,2,1,,,,,4,,6,,,4,,18,3,,,,,
April 2011,Samuel Seidu Memorial Clinic,,,34,,,,,,,,,,9,1,,,,,2,,3,,,11,,10,10,,,,,
April 2011,Biitenge CHPS,,,17,,,,,,,,,,,2,,,3,,,,,,,3,,6,,,,,,
May 2011,Bulenga Health Centre,19,0,170,,,,,,,,,,9,1,,,,,12,,1,,,5,,45,20,,,,,
May 2011,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2011,Yaala Health Centre,3,0,25,,,,,,,,,,,1,,,1,,5,,7,,,4,,7,5,,,,,
May 2011,Jeyiri CHPS,,,20,,,,,,,,,,,1,,,,,2,,,,,10,,,2,,,,,
May 2011,Kataa CHPS,,,11,,,,,,,,,,,,,,1,,1,,,,,2,,9,,,,,,
May 2011,Kpaglahi CHPS,,,12,,,,,,,,,,,,,,,,1,,,1,,5,,4,,,,,,
May 2011,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2011,Ducie CHPS,2,0,36,,,,,,,,,,,,,,,,2,,,,,3,,5,4,,,,,
May 2011,Holomuni Health Centre,2,0,54,,,,,,,,,,,2,,,3,,2,,2,,,5,,31,,,,,,
May 2011,Goh CHPS,,,12,,,,,,,,,,,,,,2,,,,,,,,,3,1,,,,,
May 2011,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2011,Funsi Health Centre,14,0,73,,,2,,2,,,,1,19,1,,,5,,14,2,8,6,,34,,52,11,,,,,
May 2011,Buffiamah CHPS,,,13,,,,,,,,,,,,,,1,,1,,,,,1,,10,1,,,,,
May 2011,Danyawkura CHPS,,,13,,,,,,,,,,,,,,,,1,,,,,2,,7,,,,,,
May 2011,Katua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2011,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2011,Naaha Health Center,9,1,38,,,,,,,,,,,,,,1,,3,,,3,,3,,11,,,,,,
May 2011,Loggu Health Centre,7,0,47,,,,,,,,,,7,3,,,6,,5,,1,,,14,,9,,,,,,
May 2011,Kulkpong CHPS,2,0,20,,,,,,,,,,,,,,,,,,,,,14,,9,,,,,,
May 2011,Kundungu Health Centre,5,0,34,,,,,,,,,,1,4,,,,,,,9,,,6,,6,4,,,,,
May 2011,Samuel Seidu Memorial Clinic,,,22,,,,,1,,,,,3,,,,2,,4,,1,,,7,,6,7,,,,,
May 2011,Biitenge CHPS,,,11,,,,,,,,,,,,,,1,,,,,,,3,,6,,,,,,
June 2011,Bulenga Health Centre,12,0,202,,,,,,,,,,19,,,,11,,20,,,,,7,,45,,,,,,
June 2011,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2011,Yaala Health Centre,3,0,41,,,,,,,,,,,1,,,3,,3,1,5,,,10,,9,6,,,,,
June 2011,Jeyiri CHPS,,,19,,,,,,,,,,4,,,,1,,1,,,,,13,,3,6,,,,,
June 2011,Kataa CHPS,,,16,,,,,,,,,,,,,,3,,,,1,,,3,,8,3,,,,,
June 2011,Kpaglahi CHPS,,,6,,,,,,,,,,,,,,,,,,,,,3,,5,,,,,,
June 2011,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2011,Ducie CHPS,,,38,,,,,,,,,,,,,,4,,2,,,,,7,,4,4,,,,,
June 2011,Holomuni Health Centre,1,0,74,,,,,,,,,,,,,,4,,,,4,,,26,,25,,,,,,
June 2011,Goh CHPS,,,9,,,,,,,,,,,,,,,,1,,,,,,,6,,,,,,
June 2011,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2011,Funsi Health Centre,10,0,81,,,,,2,,1,,2,13,8,,4,9,,4,2,10,3,,39,,37,11,,,,,
June 2011,Buffiamah CHPS,,,25,,,,,,,,,,,,,,2,,,,,,,6,,12,,,,,,
June 2011,Danyawkura CHPS,,,12,,,,,,,,,,,,,,,,2,,,,,,,10,,,,,,
June 2011,Katua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2011,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2011,Naaha Health Center,2,0,17,,,1,,1,,,,,,,,,1,,,,1,,,,,8,3,,,,,
June 2011,Loggu Health Centre,3,0,59,,,,,,,,2,,18,2,,,8,,4,,1,,,14,,19,2,,,,,
June 2011,Kulkpong CHPS,,,27,,,,,,,,,,,,,,,,2,,,,,11,,10,1,,,,,
June 2011,Kundungu Health Centre,8,0,38,,,1,,,,,,,7,6,,,3,,,,7,,,6,,19,8,,,,,
June 2011,Samuel Seidu Memorial Clinic,,,41,,,,,1,,,,,6,,,,1,,5,,3,,,12,,14,5,,,,,
June 2011,Biitenge CHPS,,,19,,,,,,,,,,1,,,,2,,,,,,,13,,10,,,,,,
July 2011,Bulenga Health Centre,15,0,119,,,,,,,,,,22,2,,,11,,16,,,,,18,,66,,,,,,
July 2011,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2011,Yaala Health Centre,4,0,33,,,,,,,,,,,,,1,3,,2,1,2,,,10,,13,4,,,,,
July 2011,Jeyiri CHPS,,,17,,,,,,,,,,2,,,,,,,,,,,3,,7,2,,,,,
July 2011,Kataa CHPS,,,9,,,,,,,,,,,,,,1,,1,,,,,3,,4,1,,,,,
July 2011,Kpaglahi CHPS,,,10,,,,,,,,,,,,,,,,,,,,,2,,4,,,,,,
July 2011,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2011,Ducie CHPS,,,25,,,,,,,,,,,,,,,,1,,,,,2,,5,1,,,,,
July 2011,Holomuni Health Centre,1,0,48,,,,,,,,,,1,,,,7,,4,,1,,,22,,40,,,,,,
July 2011,Goh CHPS,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2011,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2011,Funsi Health Centre,13,0,90,,,,,1,,,5,,7,3,,,5,,6,,6,,,39,,60,5,,,,,
July 2011,Buffiamah CHPS,,,30,,,,,1,,,,,,,,,3,,3,,,,,2,,9,4,,,,,
July 2011,Danyawkura CHPS,,,12,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,
July 2011,Katua CHPS,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2011,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2011,Naaha Health Center,1,0,38,,,,,,,,,,,1,,,3,,,1,,1,,,,10,1,,,,,
July 2011,Loggu Health Centre,2,0,70,,,2,,,,,1,,5,1,,,6,,11,,,,,12,,12,,,,,,
July 2011,Kulkpong CHPS,,,5,,,,,,,,,,,,,,,,,,,,,9,,15,,,,,,
July 2011,Kundungu Health Centre,4,0,25,,,,,,,,,,,1,,,,,,,8,,,8,,,5,,,,,
July 2011,Samuel Seidu Memorial Clinic,,,17,,,,,,,,,,9,1,,,2,,3,,,,,16,,13,5,,,,,
July 2011,Biitenge CHPS,,,15,,,,,,,,,,,,,,1,,,,,,,14,,5,2,,,,,
August 2011,Bulenga Health Centre,16,0,163,,,,,,,,,,14,,,,8,,19,,,3,,10,,53,1,,,,,
August 2011,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2011,Yaala Health Centre,4,0,38,,,1,,1,,,,,,,,,3,,,1,1,,,7,,32,3,,,,,
August 2011,Jeyiri CHPS,,,31,,,,,,,,,,,,,,1,,1,,,,,6,,25,3,,,,,
August 2011,Kataa CHPS,,,10,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,
August 2011,Kpaglahi CHPS,,,2,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,
August 2011,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2011,Ducie CHPS,3,0,22,,,,,,,,,,,,,,,,,,,,,1,,9,,,,,,
August 2011,Holomuni Health Centre,,,44,,,,,,,,,,1,,,,,,1,,1,,,5,,27,1,,,,,
August 2011,Goh CHPS,,,4,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
August 2011,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2011,Funsi Health Centre,12,0,69,,,,,,,,1,1,13,4,,,2,,3,1,7,,,42,,83,9,,,,,
August 2011,Buffiamah CHPS,,,19,,,,,,,,,,,,,,,,,,,,,11,,18,3,,,,,
August 2011,Danyawkura CHPS,,,8,,,,,,,,,,,,,,2,,,,,,,3,,7,,,,,,
August 2011,Katua CHPS,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2011,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2011,Naaha Health Center,2,0,28,,,,,,,,,,,,,,2,,1,3,,,,,,20,,,,,,
August 2011,Loggu Health Centre,4,0,68,,,138,,48,,14,,,22,4,,,4,,2,,,,,8,,35,1,,,,,
August 2011,Kulkpong CHPS,,,18,,,,,,,,,,,,,,,,,,,,,3,,7,1,,,,,
August 2011,Kundungu Health Centre,5,0,34,,,,,,,,,,,2,,,1,,,,4,,,18,,,1,,,,,
August 2011,Samuel Seidu Memorial Clinic,,,33,,,,,,,,,,27,1,,,2,,,,2,,,9,,18,10,,,,,
August 2011,Biitenge CHPS,,,21,,,,,1,,,,,,3,,,,,,,,,,5,,10,,,,,,
September 2011,Bulenga Health Centre,18,0,167,,,1,,,,,,,18,1,,,13,,9,,,,,,,116,5,,,,,
September 2011,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2011,Yaala Health Centre,7,0,56,,,,,1,,1,,,3,,,,1,,,2,5,,,9,,51,1,,,,,
September 2011,Jeyiri CHPS,,,26,,,,,,,,,,,,,,,,,,,,,4,,28,2,,,,,
September 2011,Kataa CHPS,,,14,,,,,,,,,,,,,,,,,,,,,1,,17,,,,,,
September 2011,Kpaglahi CHPS,,,3,,,,,,,,,,,,,,,,,,,,,3,,11,,,,,,
September 2011,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2011,Ducie CHPS,,,20,,,,,,,,,,2,,,,1,,2,1,,,,8,,39,,,,,,
September 2011,Holomuni Health Centre,2,0,23,,,,,,,,,,1,,,,5,,1,,2,,,28,,93,2,,,,,
September 2011,Goh CHPS,,,4,,,,,,,,,,,,,,,,,,,,,9,,17,,,,,,
September 2011,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2011,Funsi Health Centre,14,0,72,,,1,,,,,,,13,14,,,5,,4,,8,1,,43,,112,4,,,,,
September 2011,Buffiamah CHPS,,,11,,,,,,,,,,,,,,,,,,,,,4,,22,,,,,,
September 2011,Danyawkura CHPS,,,18,,,,,,,,,,,,,,1,,3,,,,,1,,12,,,,,,
September 2011,Katua CHPS,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2011,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2011,Naaha Health Center,3,0,29,,,,,,,,,,,,,,,,2,1,,,,5,,43,,,,,,
September 2011,Loggu Health Centre,4,0,56,,,,,,,,,,18,,,,5,,1,,3,1,,13,,42,1,,,,,
September 2011,Kulkpong CHPS,,,28,,,,,,,,,,,,,,,,3,,,,,14,,18,2,,,,,
September 2011,Kundungu Health Centre,8,0,40,,,,,,,,,,,4,,,4,,,,,4,,8,,40,4,,,,,
September 2011,Samuel Seidu Memorial Clinic,,,36,,,1,,2,,1,,,99,,,,2,,2,,1,,,16,,50,2,,,,,
September 2011,Biitenge CHPS,,,21,,,,,,,,,,,,,,2,,1,,,,,1,,13,2,,,,,
October 2011,Bulenga Health Centre,18,0,192,,,,,,,,300,,22,,,,14,,8,,5,,,6,,184,5,,,,,
October 2011,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2011,Yaala Health Centre,4,0,35,,,1,,,,1,,,4,,,,2,,2,,9,,,6,,40,2,,,,,
October 2011,Jeyiri CHPS,,,26,,,,,,,,,,,,,,1,,2,,,,,9,,31,,,,,,
October 2011,Kataa CHPS,,,7,,,,,,,,,,,,,,1,,,,1,,,1,,9,,,,,,
October 2011,Kpaglahi CHPS,,,6,,,,,,,,,13,,,,,,,,,,,,2,,3,,,,,,
October 2011,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2011,Ducie CHPS,,,9,,,,,,,,,,,,,,1,,2,,,,,3,,6,1,,,,,
October 2011,Holomuni Health Centre,6,0,31,,,,,,,,,,,,,,1,,3,,1,2,,16,,62,7,,,,,
October 2011,Goh CHPS,,,5,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,
October 2011,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2011,Funsi Health Centre,10,0,62,,,,,,,,,,7,5,,,4,,3,,10,2,,39,,50,5,,,,,
October 2011,Buffiamah CHPS,,,8,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,
October 2011,Danyawkura CHPS,,,7,,,,,,,,,,,,,,,,,,,,,1,,20,2,,,,,
October 2011,Katua CHPS,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2011,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2011,Naaha Health Center,4,0,42,,,,,,,,,,1,,,,2,,1,,,,,8,,40,,,,,,
October 2011,Loggu Health Centre,2,0,32,,,,,,,,,,20,,,,2,,2,,,,,16,,61,,,,,,
October 2011,Kulkpong CHPS,,,31,,,,,,,,,,,,,,2,,3,,,1,,9,,35,3,,,,,
October 2011,Kundungu Health Centre,6,0,36,,,,,,,,,,,,,,1,,1,,3,,,9,,47,4,,,,,
October 2011,Samuel Seidu Memorial Clinic,,,37,,,,,,,,,,80,,,,4,,1,1,1,,,15,,55,3,,,,,
October 2011,Biitenge CHPS,,,19,,,,,,,,,,4,,,,,,1,1,,,,8,,24,3,,,,,
November 2011,Bulenga Health Centre,17,0,170,,,,,,,,,,17,,,,16,,5,,,,,11,,110,14,,,,,
November 2011,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2011,Yaala Health Centre,1,0,12,,,1,,1,,,,,,,,,3,,2,,2,1,,13,,19,5,,,,,
November 2011,Jeyiri CHPS,,,26,,,,,,,,,,,,,,,,,,,,,4,,6,4,,,,,
November 2011,Kataa CHPS,,,8,,,,,,,,,,,,,,1,,,,,,,4,,12,30,,,,,
November 2011,Kpaglahi CHPS,,,1,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,
November 2011,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2011,Ducie CHPS,,,15,,,,,,,,,,,,,,1,,,,,,,1,,5,,,,,,
November 2011,Holomuni Health Centre,2,0,36,,,,,,,,,,,,,,,,4,,,3,,15,,19,,,,,,
November 2011,Goh CHPS,,,7,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,
November 2011,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2011,Funsi Health Centre,11,0,85,,,1,,1,,,,,7,4,,,27,,4,,5,2,,32,,68,9,,,,,
November 2011,Buffiamah CHPS,,,13,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
November 2011,Danyawkura CHPS,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
November 2011,Katua CHPS,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2011,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2011,Naaha Health Center,2,0,38,,,,,,,,,,,,,,1,,1,,,,,4,,27,,,,,,
November 2011,Loggu Health Centre,1,0,61,,,,,,,,,,5,,,,3,,1,,,,,10,,38,,,,,,
November 2011,Kulkpong CHPS,,,11,,,,,,,,,,,,,1,,,2,1,,,,9,,22,,,,,,
November 2011,Kundungu Health Centre,5,0,37,,,,,,,,,,,,,,,,6,,4,,,12,,35,5,,,,,
November 2011,Samuel Seidu Memorial Clinic,,,49,,,,,,,,,,46,2,,,1,,7,,1,,,14,,39,9,,,,,
November 2011,Biitenge CHPS,,,19,,,,,,,,,,2,,,,1,,,,,,,4,,8,,,,,,
December 2011,Bulenga Health Centre,13,0,157,,,,,,,,,,15,,,,12,,4,,,,,3,,56,3,,,,,
December 2011,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2011,Yaala Health Centre,,,22,,,3,,,,,,,4,1,,,,,2,,,,,7,,14,4,,,,,
December 2011,Jeyiri CHPS,,,42,,,,,,,,,,,,,,,,,,,,,5,,4,2,,,,,
December 2011,Kataa CHPS,,,10,,,,,,,,,,,,,,1,,1,,,,,7,,25,,,,,,
December 2011,Kpaglahi CHPS,,,10,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,
December 2011,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2011,Ducie CHPS,,,2,,,,,,,,,,,,,,,,1,,,,,5,,5,,,,,,
December 2011,Holomuni Health Centre,5,0,24,,,,,,,,,,,,,,1,,1,,1,,,12,,28,,,,,,
December 2011,Goh CHPS,,,3,,,,,,,,,,,,,,,,,,,,,5,,10,,,,,,
December 2011,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2011,Funsi Health Centre,15,0,74,,,,,,,1,,,6,7,,,6,,3,,3,,,31,,44,8,,,,,
December 2011,Buffiamah CHPS,,,22,,,,,,,,,,,,,,,,,,,,,4,,39,,,,,,
December 2011,Danyawkura CHPS,,,1,,,,,,,,,,,,,,,,4,,,,,1,,13,,,,,,
December 2011,Katua CHPS,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2011,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2011,Naaha Health Center,5,0,28,,,,,,,,,,,,,,2,,3,,,,,3,,25,1,,,,,
December 2011,Loggu Health Centre,1,0,37,,,,,,,,,,8,,,,8,,7,,,,,25,,41,,,,,,
December 2011,Kulkpong CHPS,,,27,,,,,,,,,,2,,,,,,2,,,,,12,,23,,,,,,
December 2011,Kundungu Health Centre,,,38,,,,,1,,,,,1,,,,1,,2,,3,,,15,,48,4,,,,,
December 2011,Samuel Seidu Memorial Clinic,,,46,,,,,2,,,,,11,1,,,3,,2,,,,,7,,23,2,,,,,
December 2011,Biitenge CHPS,,,13,,,,,,,,,,,,,,,,,,,,,4,,5,,,,,,
January 2012,Bulenga Health Centre,12,0,140,,,,,,,,,,10,,,,9,,16,,,,,47,,,,,,,,
January 2012,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2012,Yaala Health Centre,1,0,30,,,,,,,,,,,1,,,,,,1,,,,15,,11,,,,,,
January 2012,Jeyiri CHPS,,,18,,,,,,,,,,,,,,,,,,,,,10,,6,3,,,,,
January 2012,Kataa CHPS,,,8,,,,,,,,,,,,,,,,1,,,,,6,,23,,,,,,
January 2012,Kpaglahi CHPS,,,4,,,,,,,,,,,,,,,,,,,,,3,,4,,,,,,
January 2012,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2012,Ducie CHPS,,,20,,,,,,,,,,,,,,,,1,,,,,3,1,6,,,,,,
January 2012,Holomuni Health Centre,1,0,24,,,,,,,,,,2,,,,7,,,,,,,9,,21,5,,,,,
January 2012,Goh CHPS,,,2,,,,,,,,,,,,,,,,,,,,,7,,3,,,,,,
January 2012,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2012,Funsi Health Centre,7,0,60,,,,,,,,,2,7,5,,,17,,,2,1,,,33,,38,8,,,,,
January 2012,Buffiamah CHPS,,,18,,,,,,,,,,,,,,,,,,,,,5,,8,1,,,,,
